Dataset,ref_sp,ref_cs,clustalw_sp,clustalw_cs,muscle_sp,muscle_cs,t_coffee_sp,t_coffee_cs
BBS11001,88.0,3.0,89,3,88,3,155582,66
BBS11002,318.0,14.0,316,16,329,17,14428,7
BBS11003,440.0,50.0,447,45,483,59,13261,26
BBS11004,370.0,129.0,335,50,381,127,276469,100
BBS11005,4095.0,71.0,3636,48,4428,141,160927,51
BBS11006,710.0,88.0,642,94,803,118,34245,158
BBS11007,2381.0,38.0,2253,6,2478,98,10108,49
BBS11008,116.0,19.0,120,12,133,21,276658,239
BBS11009,108.0,18.0,123,20,119,14,164128,137
BBS11010,177.0,80.0,138,41,212,92,28425,74
BBS11011,228.0,38.0,222,21,243,59,18946,40
BBS11012,434.0,40.0,433,38,445,41,404358,97
BBS11013,63.0,1.0,69,1,65,7,41475,107
BBS11014,1589.0,62.0,1546,52,1679,89,37064,114
BBS11015,344.0,42.0,321,33,376,65,176792,61
BBS11016,1577.0,57.0,1299,18,1623,116,8879,23
BBS11017,285.0,41.0,276,22,294,33,54474,10
BBS11018,6083.0,128.0,5543,81,6567,339,112694,132
BBS11019,2770.0,84.0,2522,47,2985,161,80616,22
BBS11020,1220.0,28.0,1163,28,1304,54,52343,13
BBS11021,127.0,32.0,120,33,143,41,114901,160
BBS11022,50.0,9.0,55,9,53,9,37524,55
BBS11023,812.0,38.0,743,27,899,86,114713,22
BBS11024,236.0,84.0,247,25,293,121,205946,214
BBS11025,53.0,10.0,46,8,55,2,38911,39
BBS11026,251.0,16.0,271,9,285,16,683755,113
BBS11027,574.0,53.0,531,26,652,89,493456,103
BBS11028,678.0,5.0,669,14,676,19,130766,87
BBS11029,98.0,49.0,104,24,112,20,833634,272
BBS11030,2760.0,45.0,2524,29,2802,117,61853,340
BBS11031,2142.0,93.0,2011,65,2385,260,763815,347
BBS11032,1079.0,39.0,1105,30,1203,57,161933,180
BBS11033,743.0,7.0,757,6,789,31,800470,628
BBS11034,1603.0,52.0,1378,27,1727,107,6741,389
BBS11035,158.0,43.0,168,34,168,26,7862,382
BBS11036,1420.0,72.0,1283,67,1536,181,91361,885
BBS11037,489.0,94.0,437,38,570,90,27300,72
BBS11038,1497.0,51.0,1481,36,1572,121,325230,813
BBS12001,6352.0,62.0,6114,51,6434,119,217899,129
BBS12002,685.0,15.0,693,15,702,16,197648,252
BBS12003,596.0,9.0,597,9,597,8,580522,640
BBS12004,8237.0,49.0,7885,37,8293,56,52026,120
BBS12005,2325.0,14.0,2271,16,2327,30,11440,220
BBS12006,415.0,31.0,406,31,421,31,34167,959
BBS12007,8554.0,202.0,8200,165,8817,250,6333,47
BBS12008,8068.0,38.0,8001,36,8158,55,463104,538
BBS12009,215.0,10.0,228,13,230,15,41998,841
BBS12010,1942.0,33.0,1921,31,2003,53,35126,936
BBS12011,10195.0,59.0,9978,48,10643,165,431816,206
BBS12012,467.0,77.0,460,60,510,122,81310,103
BBS12013,6319.0,135.0,6266,121,6349,135,178103,457
BBS12014,626.0,7.0,626,7,626,7,217568,310
BBS12015,2081.0,15.0,2053,18,2116,22,60328,603
BBS12016,302.0,31.0,307,32,311,33,294915,210
BBS12017,2892.0,92.0,2846,93,2929,130,4820,146
BBS12018,1892.0,289.0,1900,290,1900,293,760622,161
BBS12019,2054.0,122.0,2133,123,2170,131,699506,499
BBS12020,196.0,32.0,194,28,203,33,174435,2462
BBS12021,346.0,14.0,330,14,355,22,376756,33
BBS12022,297.0,22.0,296,23,298,21,60160,135
BBS12023,2207.0,139.0,2203,136,2271,149,638001,148
BBS12024,512.0,55.0,517,54,529,63,150384,78
BBS12025,188.0,33.0,174,26,205,33,463733,59
BBS12026,12969.0,31.0,12676,34,13172,62,3650,47
BBS12027,4708.0,17.0,4642,15,4769,24,8069,14
BBS12028,1823.0,54.0,1799,43,1862,83,86832,70
BBS12029,6465.0,36.0,6401,33,6479,38,14721,2
BBS12030,1265.0,34.0,1269,35,1278,38,301027,111
BBS12031,13016.0,170.0,13074,174,13832,259,215437,50
BBS12032,711.0,13.0,704,10,727,16,179080,104
BBS12033,1733.0,88.0,1672,70,1845,134,428069,153
BBS12034,489.0,66.0,495,59,508,67,50472,37
BBS12035,23723.0,38.0,22571,33,23918,63,6212,11
BBS12036,1425.0,30.0,1435,31,1435,31,14289,14
BBS12037,9898.0,67.0,9681,55,10112,128,5614,24
BBS12038,3303.0,55.0,3079,59,3364,77,367673,57
BBS12039,992.0,12.0,976,14,985,17,34479,19
BBS12040,325.0,16.0,328,16,328,17,32038,15
BBS12041,608.0,26.0,584,19,638,28,422001,59
BBS12042,601.0,100.0,563,119,639,119,77645,17
BBS12043,42079.0,37.0,39623,28,42628,80,168404,127
BBS12044,9233.0,96.0,9181,83,9522,158,114578,76
BBS20001,2801.0,0.0,2806,0,2807,1,52371,36
BBS20002,2183.0,2.0,2198,3,2198,9,262266,88
BBS20003,458507.0,41.0,459247,31,463411,143,4784,25
BBS20004,247222.0,58.0,249264,50,251273,115,606955,94
BBS20005,104991.0,96.0,104867,63,107972,291,633920,171
BBS20006,117948.0,49.0,116024,46,118004,67,151229,112
BBS20007,24470.0,29.0,24201,9,25133,168,22996,1772
BBS20008,40002.0,4.0,39637,14,40605,89,42543,7158
BBS20009,36391.0,22.0,36301,22,36580,51,10676,536
BBS20010,84049.0,61.0,82556,37,85855,207,373388,867
BBS20011,6742.0,6.0,6793,6,6926,12,11398,185
BBS20012,26077.0,42.0,27228,50,27703,71,7129,207
BBS20013,20959.0,26.0,19302,20,21235,46,9105,792
BBS20014,154478.0,25.0,150776,13,155626,79,7297,197
BBS20015,14181.0,2.0,14462,1,14322,3,14748,500
BBS20016,12962.0,20.0,12749,25,13305,24,1165,177
BBS20017,275669.0,60.0,273790,45,276941,156,27884,4916
BBS20018,160658.0,32.0,159402,27,161009,52,20143,245
BBS20019,33680.0,72.0,32936,31,34436,117,15700,752
BBS20020,9968.0,30.0,9733,18,10132,47,4232,269
BBS20021,273715.0,88.0,274096,22,276729,180,18309,4917
BBS20022,162433.0,35.0,153736,12,165152,161,37877,745
BBS20023,28075.0,30.0,27615,24,28440,123,37877,745
BBS20024,18730.0,5.0,18787,9,18923,14,1441,1354
BBS20025,403812.0,76.0,402122,47,404147,126,7436,1473
BBS20026,40160.0,37.0,40002,22,41578,132,48004,804
BBS20027,36588.0,65.0,36687,29,37116,115,26575,643
BBS20028,176444.0,56.0,176129,55,176756,59,3785,817
BBS20029,8769.0,5.0,8737,5,8835,16,27692,7396
BBS20030,53650.0,6.0,54058,3,54309,11,40889,3100
BBS20031,111657.0,59.0,107809,26,113318,127,7550,326
BBS20032,79579.0,7.0,80323,9,80692,33,70258,2213
BBS20033,52022.0,11.0,52494,12,52384,15,36243,2232
BBS20034,113896.0,33.0,108456,19,115052,212,21608,380
BBS20035,36648.0,28.0,37142,25,37545,52,10198,578
BBS20036,114207.0,16.0,113771,5,114761,14,49525,643
BBS20037,201802.0,43.0,196388,21,207269,224,39901,1147
BBS20038,38593.0,26.0,38353,19,39010,42,2487,366
BBS20039,677798.0,40.0,675477,25,683894,120,18042,436
BBS20040,492476.0,53.0,486942,53,494348,88,41998,841
BBS20041,129566.0,28.0,130524,26,131019,107,36823,2835
BBS30001,365914.0,15.0,365352,10,377656,41,51672,308
BBS30002,57202.0,52.0,56946,63,60170,101,31209,638
